PREC,PREC,PREC,TEMP,UMID_MIN,UMID_MAX,RAD,PORT
0.0,0.0,0.0,2.5,100.0,100.0,0.0,0.21
0.0,0.0,0.0,2.0,100.0,100.0,0.0,0.2
0.2,0.0,0.0,1.5,100.0,100.0,0.0,0.21
0.0,0.0,0.0,0.5,100.0,100.0,0.0,0.2
0.0,0.0,0.0,0.3,100.0,100.0,0.0,0.2
0.0,0.0,0.0,-0.2,100.0,100.0,0.0,0.2
0.0,0.0,0.2,-0.2,100.0,100.0,0.0,0.2
0.0,0.0,0.0,0.8,100.0,100.0,0.0,0.2
0.0,0.0,0.0,2.0,100.0,100.0,0.088,0.2
0.0,0.0,0.0,3.2,100.0,100.0,0.245,0.2
0.0,0.0,0.0,4.6,100.0,100.0,0.314,0.2
0.0,0.0,0.0,6.6,87.0,100.0,0.879,0.19
0.0,0.0,0.0,7.3,80.0,83.0,0.552,0.19
0.0,0.0,0.0,6.5,83.0,91.0,0.144,0.19
0.0,0.0,0.0,5.9,92.0,93.0,0.088,0.2
0.0,0.0,0.0,5.3,94.0,96.0,0.006,0.2
0.0,0.0,0.0,4.0,96.0,97.0,0.0,0.2
0.0,0.0,0.0,4.1,97.0,100.0,0.0,0.19
0.0,0.0,0.0,4.1,100.0,100.0,0.0,0.2
0.0,0.0,0.0,3.2,97.0,98.0,0.0,0.19
0.0,0.0,0.0,1.7,96.0,97.0,0.0,0.19
0.0,0.0,0.0,1.1,97.0,100.0,0.0,0.2
0.0,0.0,0.0,0.6,97.0,100.0,0.0,0.19
0.0,0.0,0.0,0.7,100.0,100.0,0.0,0.2
0.0,0.0,0.0,1.0,100.0,100.0,0.0,0.2
0.0,0.0,0.0,1.1,100.0,100.0,0.0,0.19
0.0,0.0,0.0,1.4,100.0,100.0,0.0,0.19
0.2,0.0,0.0,1.9,100.0,100.0,0.0,0.19
0.6,0.0,1.0,2.6,100.0,100.0,0.0,0.19
0.4,0.6,1.0,2.9,100.0,100.0,0.0,0.19
0.0,0.0,0.0,2.9,100.0,100.0,0.0,0.19
0.0,0.0,0.0,3.2,100.0,100.0,0.0,0.18
0.0,0.0,0.0,3.7,100.0,100.0,0.082,0.19
0.0,0.0,0.0,4.0,100.0,100.0,0.653,0.19
0.0,0.0,0.0,4.7,92.0,95.0,0.634,0.18
0.2,0.0,0.0,7.0,35.0,84.0,0.508,0.18
0.0,0.0,0.0,6.7,26.0,33.0,0.408,0.18
0.0,0.2,0.0,5.7,21.0,28.0,0.27,0.18
0.0,0.0,0.0,4.8,19.0,23.0,0.151,0.18
0.0,0.0,0.0,3.9,20.0,27.0,0.006,0.18
0.0,0.0,0.0,3.5,20.0,22.0,0.0,0.17
0.0,0.0,0.0,2.9,16.0,20.0,0.0,0.17
0.0,0.0,0.0,2.3,16.0,19.0,0.0,0.17
0.0,0.0,0.0,2.1,16.0,20.0,0.0,0.17
0.0,0.0,0.0,2.2,16.0,17.0,0.0,0.16
0.0,0.0,0.0,1.9,16.0,19.0,0.0,0.16
0.0,0.0,0.0,1.6,18.0,21.0,0.0,0.17
0.0,0.0,0.0,1.7,16.0,23.0,0.0,0.16
0.0,0.0,0.0,0.9,18.0,24.0,0.0,0.16
0.0,0.0,0.0,-0.2,18.0,42.0,0.0,0.16
0.0,0.0,0.0,-1.8,42.0,44.0,0.0,0.16
0.0,0.0,0.0,-2.5,39.0,54.0,0.0,0.16
0.0,0.0,0.0,-3.6,53.0,59.0,0.0,0.16
0.0,0.0,0.0,-4.9,59.0,68.0,0.0,0.16
0.0,0.0,0.0,-5.8,67.0,72.0,0.0,0.17
0.0,0.0,0.0,-5.8,69.0,73.0,0.182,0.15
0.0,0.0,0.0,-5.6,70.0,73.0,0.634,0.13
0.0,0.0,0.0,-5.5,71.0,75.0,1.061,0.13
0.0,0.0,0.0,-4.4,58.0,72.0,1.312,0.13
