PREC,PREC,PREC,TEMP,UMID_MIN,UMID_MAX,RAD,PORT
0.0,0.0,0.0,1.9,94.0,95.0,0.0,0.05
0.0,0.0,0.0,1.9,93.0,94.0,0.0,0.04
0.0,0.0,0.0,2.7,90.0,93.0,0.0,0.06
0.0,0.0,0.0,2.7,89.0,90.0,0.0,0.07
0.0,0.0,0.0,3.4,87.0,89.0,0.0,0.07
0.0,0.0,0.0,2.8,88.0,90.0,0.0,0.07
0.0,0.0,0.0,2.8,88.0,90.0,0.0,0.07
0.0,0.0,0.0,3.4,89.0,92.0,0.063,0.07
0.0,0.0,0.0,4.1,88.0,89.0,0.464,0.07
0.0,0.0,0.0,7.5,69.0,84.0,0.697,0.05
0.0,0.0,0.0,12.6,47.0,69.0,1.268,0.07
0.0,0.0,0.0,17.5,32.0,41.0,1.337,0.09
0.0,0.0,0.0,16.4,33.0,42.0,1.218,0.1
0.0,0.0,0.0,11.5,45.0,54.0,0.477,0.08
0.0,0.0,0.0,10.9,54.0,58.0,0.132,0.08
0.0,0.0,0.0,8.8,61.0,70.0,0.019,0.08
0.0,0.0,0.0,8.6,63.0,69.0,0.0,0.08
0.0,0.0,0.0,10.3,51.0,58.0,0.0,0.09
0.0,0.0,0.0,9.4,54.0,58.0,0.0,0.09
0.0,0.0,0.0,13.2,36.0,42.0,0.0,0.08
0.0,0.0,0.0,10.0,38.0,57.0,0.0,0.08
0.0,0.0,0.0,8.5,53.0,56.0,0.0,0.07
0.0,0.0,0.0,7.5,55.0,60.0,0.0,0.08
0.0,0.0,0.0,5.2,63.0,75.0,0.0,0.08
0.0,0.0,0.0,3.6,78.0,82.0,0.0,0.08
0.0,0.0,0.0,2.9,81.0,85.0,0.0,0.08
0.0,0.0,0.0,2.5,85.0,88.0,0.0,0.07
0.0,0.0,0.0,2.7,87.0,89.0,0.0,0.08
0.0,0.0,0.0,2.7,84.0,86.0,0.0,0.08
0.0,0.0,0.0,1.6,87.0,89.0,0.0,0.08
0.0,0.0,0.0,1.0,89.0,91.0,0.0,0.07
0.0,0.0,0.0,0.6,92.0,93.0,0.163,0.07
0.0,0.0,0.0,1.4,92.0,94.0,0.609,0.06
0.0,0.0,0.0,2.7,89.0,92.0,0.86,0.05
0.0,0.0,0.0,5.3,76.0,89.0,1.205,0.07
0.0,0.0,0.0,9.3,57.0,69.0,1.098,0.07
0.0,0.0,0.0,10.0,55.0,58.0,0.897,0.07
0.0,0.0,0.0,8.7,59.0,71.0,0.301,0.08
0.0,0.0,0.0,7.0,73.0,82.0,0.138,0.07
0.0,0.0,0.0,4.3,83.0,88.0,0.025,0.07
0.0,0.0,0.0,2.7,91.0,92.0,0.0,0.07
0.0,0.0,0.0,2.7,93.0,94.0,0.0,0.07
0.0,0.0,0.0,3.2,92.0,99.0,0.0,0.08
0.0,0.0,0.0,6.1,95.0,97.0,0.0,0.07
0.0,0.0,0.0,6.2,85.0,92.0,0.0,0.08
0.0,0.0,0.0,5.5,82.0,87.0,0.0,0.08
0.0,0.0,0.0,4.5,80.0,82.0,0.0,0.08
0.0,0.0,0.0,2.7,83.0,87.0,0.0,0.08
0.0,0.0,0.0,2.4,86.0,89.0,0.0,0.08
0.0,0.0,0.0,1.8,83.0,85.0,0.0,0.08
0.0,0.0,0.0,1.3,84.0,86.0,0.0,0.08
0.0,0.0,0.0,1.7,81.0,85.0,0.0,0.07
0.0,0.0,0.0,1.8,78.0,81.0,0.0,0.08
0.0,0.0,0.0,1.8,80.0,80.0,0.0,0.07
0.0,0.0,0.0,1.2,81.0,83.0,0.0,0.08
0.0,0.0,0.0,0.6,83.0,86.0,0.138,0.06
0.0,0.0,0.0,1.4,83.0,84.0,0.628,0.04
0.0,0.0,0.0,1.5,84.0,85.0,1.061,0.04
0.0,0.0,0.0,2.0,86.0,88.0,1.349,0.06
0.0,0.0,0.0,9.3,60.0,82.0,1.4,0.08
0.0,0.0,0.0,9.9,59.0,60.0,1.305,0.09
0.0,0.0,0.0,9.1,61.0,71.0,0.49,0.08
0.0,0.0,0.0,7.7,75.0,83.0,0.063,0.08
0.0,0.0,0.0,4.7,84.0,90.0,0.0,0.07
0.0,0.0,0.0,2.3,90.0,92.0,0.0,0.08
0.0,0.0,0.0,1.2,92.0,94.0,0.0,0.08
0.0,0.0,0.0,0.3,94.0,95.0,0.0,0.08
0.0,0.0,0.0,-0.2,95.0,96.0,0.0,0.08
0.0,0.0,0.0,-0.6,95.0,96.0,0.0,0.08
0.0,0.0,0.0,-1.0,95.0,96.0,0.0,0.08
0.0,0.0,0.0,-1.0,96.0,96.0,0.0,0.07
0.0,0.0,0.0,-1.2,96.0,96.0,0.0,0.07
0.0,0.0,0.0,-1.4,96.0,96.0,0.0,0.08
0.0,0.0,0.0,-1.5,96.0,96.0,0.0,0.08
0.0,0.0,0.0,-1.3,96.0,96.0,0.0,0.08
0.0,0.0,0.0,-0.8,96.0,97.0,0.0,0.08
0.0,0.0,0.0,-0.2,96.0,97.0,0.0,0.07
0.0,0.0,0.0,0.2,96.0,97.0,0.0,0.07
0.0,0.0,0.0,-0.2,96.0,96.0,0.0,0.08
0.0,0.0,0.0,-0.6,96.0,97.0,0.025,0.07
0.0,0.0,0.0,-0.1,96.0,97.0,0.42,0.07
0.0,0.0,0.0,0.6,97.0,98.0,0.803,0.07
0.0,0.0,0.0,2.4,98.0,99.0,1.029,0.08
0.0,0.0,0.0,5.8,95.0,99.0,0.414,0.07
0.0,0.0,0.0,6.8,80.0,92.0,0.113,0.07
0.0,0.0,0.0,6.9,76.0,78.0,0.195,0.07
0.0,0.0,0.0,6.8,75.0,76.0,0.182,0.08
0.0,0.0,0.0,6.0,77.0,81.0,0.031,0.07
0.0,0.0,0.0,5.5,81.0,83.0,0.0,0.07
0.0,0.0,0.0,4.5,85.0,88.0,0.0,0.07
0.0,0.0,0.0,3.9,89.0,90.0,0.0,0.08
0.0,0.0,0.0,3.6,91.0,92.0,0.0,0.08
0.0,0.0,0.0,3.4,93.0,93.0,0.0,0.07
0.0,0.0,0.0,3.2,94.0,94.0,0.0,0.07
0.0,0.0,0.0,3.1,94.0,95.0,0.0,0.07
0.0,0.0,0.0,2.6,94.0,95.0,0.0,0.07
0.0,0.0,0.0,2.1,95.0,95.0,0.0,0.07
0.0,0.0,0.0,1.3,96.0,96.0,0.0,0.07
0.0,0.0,0.0,0.9,96.0,96.0,0.0,0.07
0.0,0.0,0.0,0.7,96.0,96.0,0.0,0.07
0.0,0.0,0.0,0.4,96.0,96.0,0.0,0.07
0.0,0.0,0.0,0.1,96.0,96.0,0.0,0.07
0.0,0.0,0.0,-0.2,96.0,96.0,0.0,0.07
0.0,0.0,0.0,-0.1,96.0,97.0,0.019,0.07
0.0,0.0,0.0,1.0,97.0,98.0,0.176,0.07
0.0,0.0,0.0,3.0,98.0,98.0,0.408,0.07
0.0,0.0,0.0,5.4,94.0,98.0,0.49,0.07
0.0,0.0,0.0,7.2,69.0,86.0,0.477,0.07
0.0,0.0,0.0,7.6,67.0,69.0,0.408,0.07
0.0,0.0,0.0,7.0,70.0,72.0,0.27,0.07
0.0,0.0,0.0,6.4,71.0,76.0,0.113,0.07
0.0,0.0,0.0,5.9,76.0,78.0,0.006,0.07
0.0,0.0,0.0,5.6,78.0,78.0,0.0,0.07
0.0,0.0,0.0,4.9,78.0,83.0,0.0,0.07
0.0,0.0,0.0,4.4,83.0,86.0,0.0,0.07
0.0,0.0,0.0,4.0,87.0,89.0,0.0,0.07
0.0,0.0,0.0,3.7,89.0,90.0,0.0,0.07
0.0,0.0,0.0,3.6,91.0,91.0,0.0,0.07
0.0,0.0,0.0,3.4,92.0,92.0,0.0,0.07
0.0,0.0,0.0,3.3,92.0,94.0,0.0,0.07
0.0,0.0,0.0,3.3,93.0,94.0,0.0,0.07
0.0,0.0,0.0,3.2,94.0,94.0,0.0,0.07
0.0,0.0,0.0,3.1,94.0,94.0,0.0,0.07
0.0,0.0,0.0,3.0,94.0,94.0,0.0,0.06
0.0,0.0,0.0,2.9,94.0,94.0,0.0,0.06
0.0,0.0,0.0,2.9,94.0,94.0,0.0,0.07
0.0,0.0,0.0,2.6,94.0,94.0,0.0,0.07
0.0,0.0,0.0,2.5,94.0,94.0,0.038,0.06
0.0,0.0,0.0,3.1,93.0,94.0,0.163,0.07
0.0,0.0,0.0,4.3,87.0,92.0,0.264,0.07
0.0,0.0,0.0,5.3,74.0,84.0,0.408,0.07
0.0,0.0,0.0,6.6,64.0,70.0,0.477,0.07
0.0,0.0,0.0,6.9,64.0,66.0,0.414,0.06
0.0,0.0,0.0,6.3,68.0,75.0,0.308,0.07
0.0,0.0,0.0,5.8,76.0,81.0,0.176,0.07
0.0,0.0,0.0,5.1,82.0,85.0,0.019,0.07
0.0,0.0,0.0,4.2,86.0,90.0,0.0,0.07
0.0,0.0,0.0,3.9,90.0,92.0,0.0,0.07
0.0,0.0,0.0,3.8,91.0,92.0,0.0,0.07
0.0,0.0,0.0,2.9,91.0,92.0,0.0,0.06
0.0,0.0,0.0,1.7,93.0,94.0,0.0,0.06
0.0,0.0,0.0,1.0,94.0,95.0,0.0,0.06
0.0,0.0,0.0,0.4,95.0,96.0,0.0,0.06
0.0,0.0,0.0,-0.1,96.0,96.0,0.0,0.06
0.0,0.0,0.0,-1.0,95.0,96.0,0.0,0.06
0.0,0.0,0.0,-1.4,95.0,96.0,0.0,0.05
0.0,0.0,0.0,-1.4,96.0,96.0,0.0,0.06
0.0,0.0,0.0,-1.6,96.0,96.0,0.0,0.06
0.0,0.0,0.0,-1.3,96.0,96.0,0.0,0.06
0.0,0.0,0.0,-0.6,96.0,96.0,0.0,0.06
0.0,0.0,0.0,-0.1,96.0,97.0,0.0,0.06
0.0,0.0,0.0,0.4,96.0,97.0,0.031,0.06
0.0,0.0,0.0,1.0,97.0,97.0,0.144,0.05
0.0,0.0,0.0,2.3,97.0,97.0,0.176,0.05
0.0,0.0,0.0,3.7,92.0,97.0,0.32,0.05
0.0,0.0,0.0,5.4,68.0,88.0,0.433,0.05
0.0,0.0,0.0,6.0,66.0,68.0,0.37,0.05
0.0,0.0,0.0,5.5,67.0,71.0,0.314,0.05
0.0,0.0,0.0,4.7,74.0,78.0,0.182,0.06
0.0,0.0,0.0,2.1,79.0,86.0,0.006,0.05
0.0,0.0,0.0,-0.1,88.0,91.0,0.0,0.05
0.0,0.0,0.0,-1.0,92.0,93.0,0.0,0.08
0.0,0.0,0.0,-1.5,93.0,94.0,0.0,0.07
0.0,0.0,0.0,-1.6,94.0,95.0,0.0,0.07
0.0,0.0,0.0,-2.2,94.0,94.0,0.0,0.07
0.0,0.0,0.0,-2.6,94.0,94.0,0.0,0.07
0.0,0.0,0.0,-2.9,94.0,95.0,0.0,0.07
0.0,0.0,0.0,-2.9,94.0,94.0,0.0,0.07
0.0,0.0,0.0,-3.0,94.0,94.0,0.0,0.07
0.0,0.0,0.0,-3.0,94.0,94.0,0.0,0.07
0.0,0.0,0.0,-3.3,94.0,94.0,0.0,0.07
0.0,0.0,0.0,-3.4,94.0,94.0,0.0,0.07
0.0,0.0,0.0,-3.0,94.0,94.0,0.0,0.06
0.0,0.0,0.0,-3.3,94.0,94.0,0.0,0.06
0.0,0.0,0.0,-3.5,94.0,94.0,0.0,0.06
0.0,0.0,0.0,-2.6,94.0,94.0,0.006,0.07
0.0,0.0,0.0,-0.8,95.0,96.0,0.182,0.07
0.0,0.0,0.0,1.1,96.0,96.0,0.339,0.06
0.0,0.0,0.0,2.9,86.0,95.0,0.314,0.06
